                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0251,                0.38001,                 0.3052,                0.83723,                 1.0919,                0.98407,                0.84615,                0.95028,                0.65838,                0.95961,                0.91399,                0.98046,                0.93517,                 1.1404,                 0.4627,                0.11847,                0.69524,                 1.2299,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.0085,                 0.3489,                0.29838,                0.78953,                 1.0743,                0.95129,                0.84615,                0.87744,                0.67306,                0.95954,                0.91249,                 0.9597,                0.90428,                 1.0396,                 0.5455,                 0.1228,                0.71276,                 1.1618,              0.0015644,              0.0015644,              0.0015644
                     35,                0.98915,                0.30652,                0.24633,                0.77878,                 1.0564,                0.94415,                0.84615,                0.89732,                0.65636,                0.98742,                0.88462,                0.96873,                0.91301,                 0.9965,                0.58418,                 0.1237,                 0.8163,                 1.0389,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.0163,                0.49034,                0.29319,                0.83256,                 1.1157,                0.86755,                0.88462,                0.93346,                0.68954,                0.86384,                0.97631,                 0.9695,                0.94111,                0.98152,                0.39388,                0.11484,                0.74598,                 1.0766,               0.001538,               0.001538,               0.001538
                     37,                 0.9677,                0.42328,                0.29734,                 0.8171,                 1.0494,                      1,                0.76884,                0.91492,                 0.6432,                      1,                0.76884,                0.93409,                0.88466,                 1.0767,                0.46434,                0.16253,                 1.2179,                 1.1143,              0.0015248,              0.0015248,              0.0015248
                     38,                0.94031,                0.41821,                0.22879,                0.76445,                 1.0453,                0.87752,                 0.8271,                0.92697,                0.67875,                0.94441,                0.88462,                0.97576,                0.95267,                0.95593,                 0.4392,                0.21155,                0.72405,                 1.0003,              0.0015116,              0.0015116,              0.0015116
                     39,                0.91539,                0.35102,                0.28567,                0.74821,                 1.0319,                0.88526,                0.96154,                0.94877,                0.67415,                0.92067,                      1,                0.98978,                0.95515,                 0.9375,                0.40335,                0.15669,                 0.6984,                 1.0018,              0.0014984,              0.0014984,              0.0014984
                     40,                0.97388,                 0.2693,                0.25741,                0.78195,                 1.0538,                 0.9539,                0.92308,                0.95076,                0.69231,                0.99396,                0.96154,                0.98729,                0.97433,                0.95234,                0.33851,                0.13096,                0.69604,                 1.0297,              0.0014852,              0.0014852,              0.0014852
                     41,                0.92521,                0.29265,                 0.2503,                0.73512,                 1.0515,                0.92189,                0.92308,                0.93273,                0.65834,                 0.9566,                      1,                0.98944,                0.96975,                 0.9656,                0.38733,                0.17557,                0.86025,                 1.0363,               0.001472,               0.001472,               0.001472
                     42,                0.90708,                0.28075,                0.23508,                0.75607,                 1.0352,                0.89223,                0.95546,                0.94869,                0.65021,                0.92811,                0.99325,                0.97961,                0.94267,                  1.094,                0.42149,                0.19697,                0.83234,                 1.0967,              0.0014588,              0.0014588,              0.0014588
                     43,                0.92205,                0.29485,                0.23294,                0.75009,                  1.064,                0.95741,                0.96154,                0.94819,                 0.6765,                0.99688,                      1,                  0.995,                0.98114,                0.97871,                0.31357,                0.13817,                0.68838,                0.99155,              0.0014456,              0.0014456,              0.0014456
                     44,                 0.8575,                0.31932,                0.21543,                0.75784,                  1.025,                0.88876,                0.96154,                 0.9517,                0.69518,                0.92452,                      1,                0.98093,                 0.9666,                0.93859,                 0.3377,                0.15179,                0.65429,                0.96692,              0.0014324,              0.0014324,              0.0014324
                     45,                0.91809,                0.29641,                0.23148,                0.72449,                 1.0608,                0.91966,                0.92308,                0.93178,                0.69635,                0.91966,                0.92308,                0.96535,                0.91207,                0.92912,                0.48227,                0.18314,                0.64752,                0.98311,              0.0014192,              0.0014192,              0.0014192
                     46,                0.91001,                0.27549,                0.23002,                0.79564,                 1.0737,                      1,                0.91947,                 0.9581,                0.74054,                      1,                0.91947,                0.99132,                0.93182,                0.87812,                 0.4215,                0.16271,                0.54229,                0.96753,               0.001406,               0.001406,               0.001406
                     47,                0.85053,                0.27582,                0.20602,                0.69154,                 1.0185,                0.89109,                0.94444,                0.94591,                0.69926,                0.96145,                0.95923,                0.98978,                0.95627,                0.93774,                0.46991,                 0.2484,                0.59048,                0.96619,              0.0013928,              0.0013928,              0.0013928
                     48,                0.90942,                0.41178,                0.22357,                0.77505,                 1.0555,                0.87406,                0.80769,                0.86783,                0.61831,                0.92775,                0.98806,                0.98381,                0.93897,                 1.0562,                0.36327,                0.17348,                0.92502,                 1.0032,              0.0013796,              0.0013796,              0.0013796
                     49,                0.92543,                 0.2896,                0.18214,                0.73439,                 1.0602,                      1,                0.91751,                0.97167,                0.68448,                      1,                0.91751,                0.98784,                0.96395,                 1.0186,                0.37012,                 0.0842,                0.64998,                 1.0529,              0.0013664,              0.0013664,              0.0013664
                     50,                 0.9612,                0.31073,                0.20824,                0.77516,                 1.0804,                0.91382,                0.88462,                0.87479,                0.67864,                0.95355,                0.92308,                0.97861,                0.93446,                0.99621,                0.44822,                0.08281,                0.70357,                 1.0637,              0.0013532,              0.0013532,              0.0013532
                     51,                0.87156,                0.32833,                0.18643,                0.74676,                 1.0468,                0.98754,                0.88462,                0.92716,                0.69913,                0.92514,                0.95096,                0.98271,                0.90643,                0.94645,                 0.4708,                0.18031,                0.68046,                 1.0846,                0.00134,                0.00134,                0.00134
                     52,                0.85771,                0.29054,                 0.1716,                0.72834,                 1.0266,                      1,                0.87983,                0.97937,                  0.691,                0.92693,                 0.9761,                0.99132,                0.91085,                0.97659,                0.43875,                0.17667,                0.65247,                 1.0672,              0.0013268,              0.0013268,              0.0013268
                     53,                0.82164,                0.28774,                0.18373,                0.68338,                 1.0064,                0.95916,                0.92308,                0.95943,                0.72538,                0.89562,                0.99033,                0.98456,                0.90012,                0.90069,                0.46986,                0.22091,                0.69146,                 1.0045,              0.0013136,              0.0013136,              0.0013136
                     54,                0.80085,                0.30734,                0.17811,                0.66967,                0.99665,                0.98863,                0.88462,                0.92867,                0.70322,                0.98863,                0.88462,                 0.9404,                0.90444,                0.92949,                0.41416,                0.14399,                0.81667,                0.96232,              0.0013004,              0.0013004,              0.0013004
                     55,                0.83247,                0.21396,                0.19406,                 0.6691,                 1.0284,                0.95919,                0.92308,                0.94579,                 0.7223,                0.95919,                0.92308,                0.96322,                0.91075,                 1.0302,                0.48111,                0.14682,                0.66397,                 1.0037,              0.0012872,              0.0012872,              0.0012872
                     56,                0.87251,                0.22915,                0.20312,                0.70816,                 1.0624,                0.99483,                0.92308,                0.94758,                0.71185,                0.99483,                0.92308,                0.96932,                0.92386,                 1.0042,                0.46195,                0.17697,                0.66435,                 1.0209,               0.001274,               0.001274,               0.001274
                     57,                0.83041,                0.24003,                0.17383,                0.68158,                 1.0048,                0.95551,                0.82641,                0.92816,                0.70099,                0.91669,                0.84644,                0.95361,                0.91427,                 0.9422,                0.47812,                0.25638,                0.70979,                 1.0026,              0.0012608,              0.0012608,              0.0012608
                     58,                0.81251,                0.32609,                0.15676,                0.67439,                 1.0029,                0.94705,                0.92308,                0.94912,                0.71693,                0.94705,                0.92308,                0.96848,                 0.8474,                0.89802,                0.54457,                0.15379,                0.58362,                0.96702,              0.0012476,              0.0012476,              0.0012476
                     59,                0.87429,                0.25372,                0.20258,                 0.7358,                 1.0522,                0.97986,                0.92308,                0.96884,                0.72028,                0.89257,                0.95876,                0.93275,                0.89595,                0.89453,                0.47948,                0.07729,                0.56028,                0.95673,              0.0012344,              0.0012344,              0.0012344
                     60,                0.82169,                0.21066,                0.16155,                0.73618,                  1.035,                0.91751,                0.92308,                0.93361,                0.72026,                0.91751,                0.92308,                0.94906,                0.87287,                 0.9425,                0.49446,                0.07186,                0.60821,                0.98715,              0.0012212,              0.0012212,              0.0012212
                     61,                0.77664,                0.20897,                0.12908,                0.62487,                0.98742,                0.99305,                0.92308,                0.92941,                0.67556,                0.99305,                0.92308,                0.94302,                  0.795,                0.98684,                0.65978,                0.15489,                 0.7148,                 1.0604,               0.001208,               0.001208,               0.001208
                     62,                0.79516,                0.21077,                  0.178,                0.71003,                 1.0189,                0.92168,                0.92308,                0.93404,                0.65641,                0.92168,                0.92308,                0.96834,                0.83824,                 1.0487,                0.59372,                0.25666,                0.66906,                 1.1219,              0.0011948,              0.0011948,              0.0011948
                     63,                0.75922,                0.23156,                0.13632,                0.65871,                 1.0105,                0.95518,                0.92308,                0.96222,                 0.6913,                0.91538,                0.88462,                0.90703,                0.84468,                 1.0689,                0.57841,                0.11755,                0.60611,                 1.1347,              0.0011816,              0.0011816,              0.0011816
                     64,                0.75045,                0.24143,                0.14602,                0.62863,                0.97951,                0.99151,                0.92308,                0.98188,                0.69752,                0.99151,                0.92308,                0.98567,                0.88736,                0.94869,                0.48375,                0.13311,                0.59905,                 1.0712,              0.0011684,              0.0011684,              0.0011684
                     65,                 0.7874,                0.23691,                0.13137,                0.67919,                 0.9813,                      1,                0.91382,                0.95453,                0.71921,                      1,                0.91382,                0.98804,                0.95217,                 0.8972,                0.41429,                0.19326,                0.57258,                 1.0734,              0.0011552,              0.0011552,              0.0011552
                     66,                0.74504,                0.24348,                0.13056,                0.65124,                0.97564,                0.99427,                0.84615,                0.95126,                0.73399,                0.96018,                0.92762,                0.98862,                0.97515,                0.96985,                0.36312,                0.18098,                 0.6154,                 1.0138,               0.001142,               0.001142,               0.001142
                     67,                0.78371,                0.24484,                0.16446,                0.65751,                 1.0059,                0.92846,                0.99839,                   0.99,                0.73181,                0.92846,                0.99839,                   0.99,                0.98261,                0.96708,                0.32054,                0.13485,                0.59013,                 1.0174,              0.0011288,              0.0011288,              0.0011288
                     68,                0.72993,                0.21556,                0.15988,                0.64889,                 0.9825,                0.98894,                0.92308,                0.97334,                0.72979,                0.99299,                      1,                  0.995,                0.96219,                  1.003,                0.31665,                0.08603,                0.60129,                 1.0157,              0.0011156,              0.0011156,              0.0011156
