                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0823,                0.32986,                0.19874,                0.90238,                 1.1145,                0.86529,                0.85135,                0.90831,                0.61846,                0.88661,                0.86486,                0.91317,                0.88447,                 1.2827,                0.74341,                0.18126,                0.82014,                 1.2136,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.0597,                0.37361,                0.21679,                0.89151,                 1.1084,                0.94041,                0.86486,                 0.9471,                0.63415,                0.89861,                0.83839,                0.92259,                0.88592,                 1.1416,                0.87492,                0.09001,                0.75843,                 1.1777,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.0704,                0.39162,                0.20166,                0.87459,                 1.1173,                 0.8761,                0.86001,                0.90249,                0.61746,                0.87814,                0.87648,                0.91072,                0.86675,                 1.1935,                0.89692,                 0.0982,                 0.7665,                 1.1553,              0.0015644,              0.0015644,              0.0015644
                     35,                  1.087,                0.42912,                0.20449,                0.90838,                 1.1247,                0.91679,                0.86486,                0.92303,                0.64251,                0.94338,                0.90065,                0.95331,                0.90876,                 1.1301,                0.67724,                0.05903,                0.77431,                 1.1661,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.0379,                0.32907,                0.18893,                0.84045,                 1.1033,                0.86229,                0.87838,                0.89935,                0.61606,                0.84302,                0.87086,                0.90124,                0.85975,                 1.1051,                0.66463,                0.08503,                0.78157,                 1.1153,               0.001538,               0.001538,               0.001538
                     37,                 1.0482,                0.35762,                0.18889,                0.84073,                 1.0966,                0.98333,                0.79729,                 0.9141,                0.62392,                0.98333,                0.79729,                0.93597,                0.91249,                 1.2113,                0.47161,                0.07128,                0.82095,                 1.1936,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.0293,                0.35293,                0.18962,                0.87281,                 1.1134,                0.93964,                0.84152,                0.92831,                0.62336,                0.93964,                0.84152,                0.94012,                0.89534,                 1.1305,                0.45156,                0.07474,                0.78816,                  1.188,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.0569,                0.36948,                0.19448,                0.87274,                 1.1099,                 0.9286,                0.90541,                0.93748,                0.62943,                 0.9286,                0.90541,                0.93939,                0.90043,                 1.1203,                0.71547,                0.17486,                0.77711,                 1.1103,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.0107,                0.32756,                0.17835,                0.84297,                 1.0928,                0.88839,                0.86059,                0.92165,                 0.6393,                 0.9457,                0.82432,                0.91934,                0.87364,                 1.1049,                0.84262,                0.07056,                0.74534,                 1.1275,              0.0014852,              0.0014852,              0.0014852
                     41,                0.99777,                0.35984,                0.18019,                0.84746,                 1.0914,                0.94217,                0.88067,                0.96511,                0.69096,                0.94222,                0.85135,                0.96033,                0.92111,                 1.0309,                0.73558,                0.10795,                0.64038,                 1.0665,               0.001472,               0.001472,               0.001472
