epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,571.093,1.43253,0.77482,1.23693,0.9288,0.98466,0.99061,0.68606,1.17128,0.60722,1.13163,0.000929853,0.000929853,0.000929853
69,578.484,1.44208,0.76754,1.25242,0.95617,0.98693,0.99376,0.65619,1.25348,0.61884,1.16075,0.00091885,0.00091885,0.00091885
70,586.767,1.42939,0.76999,1.2241,0.99699,0.95984,0.99258,0.6916,1.17648,0.58871,1.13831,0.000907848,0.000907848,0.000907848
71,594.198,1.41949,0.75144,1.22301,0.95726,0.91428,0.98047,0.69245,1.16219,0.63385,1.14014,0.000896846,0.000896846,0.000896846
72,602.307,1.43278,0.74322,1.21675,0.94096,0.98003,0.9933,0.68276,1.18916,0.56374,1.13852,0.000885844,0.000885844,0.000885844
73,610.755,1.42094,0.75407,1.22271,0.94986,0.96363,0.98834,0.68,1.18483,0.6274,1.15373,0.000874842,0.000874842,0.000874842
74,618.01,1.42009,0.74504,1.22407,0.96257,0.98516,0.9924,0.70595,1.15232,0.58236,1.13319,0.000863839,0.000863839,0.000863839
75,626.683,1.43305,0.73574,1.20675,0.95336,0.97478,0.9931,0.68654,1.22704,0.60187,1.14939,0.000852837,0.000852837,0.000852837
76,634.143,1.40874,0.73437,1.21379,0.98359,0.96486,0.99398,0.66554,1.21406,0.56204,1.1454,0.000841835,0.000841835,0.000841835
77,642.385,1.41232,0.7319,1.22193,0.98784,0.99454,0.99467,0.70674,1.15947,0.58351,1.12251,0.000830833,0.000830833,0.000830833
78,650.674,1.42749,0.74894,1.21586,0.98997,0.92369,0.99132,0.68526,1.18685,0.58395,1.13795,0.000819831,0.000819831,0.000819831
79,658.034,1.38949,0.71608,1.20379,0.94721,0.9828,0.99135,0.70688,1.15321,0.57472,1.12686,0.000808828,0.000808828,0.000808828
80,666.398,1.41553,0.7318,1.20357,0.8908,0.9713,0.98449,0.69598,1.192,0.58821,1.12945,0.000797826,0.000797826,0.000797826
81,673.743,1.40417,0.7362,1.22321,0.97611,0.98209,0.99385,0.65999,1.23522,0.58466,1.15317,0.000786824,0.000786824,0.000786824
82,681.833,1.39314,0.73267,1.20509,0.97028,0.96552,0.9882,0.68991,1.16961,0.58397,1.12756,0.000775822,0.000775822,0.000775822
83,690.096,1.4407,0.72753,1.22713,0.99437,0.95619,0.99248,0.70458,1.16736,0.56879,1.12491,0.00076482,0.00076482,0.00076482
84,697.502,1.39495,0.72279,1.21979,0.94436,0.9918,0.99343,0.68137,1.24378,0.59294,1.1503,0.000753817,0.000753817,0.000753817
85,705.816,1.41415,0.73378,1.20985,0.96368,0.98302,0.99287,0.68731,1.19373,0.57603,1.14035,0.000742815,0.000742815,0.000742815
86,713.174,1.39854,0.71992,1.22212,0.99559,0.98534,0.99463,0.67645,1.20691,0.56244,1.14628,0.000731813,0.000731813,0.000731813
87,721.12,1.40586,0.71955,1.24606,0.98931,0.96716,0.99276,0.66853,1.20211,0.57316,1.15013,0.000720811,0.000720811,0.000720811
88,729.405,1.38386,0.70677,1.1813,0.9619,0.99221,0.99418,0.70925,1.13942,0.55987,1.12155,0.000709809,0.000709809,0.000709809
89,736.776,1.38091,0.72054,1.21581,0.96721,0.98338,0.99448,0.7108,1.14326,0.5585,1.12166,0.000698806,0.000698806,0.000698806
90,745.107,1.38661,0.72412,1.19718,0.97431,0.96766,0.99286,0.69192,1.21884,0.56709,1.14892,0.000687804,0.000687804,0.000687804
91,752.527,1.39028,0.71397,1.17662,0.98717,0.96184,0.99323,0.70019,1.16071,0.56937,1.12089,0.000676802,0.000676802,0.000676802
92,760.672,1.3899,0.71741,1.18851,0.95862,0.98146,0.9925,0.67726,1.20726,0.58804,1.14747,0.0006658,0.0006658,0.0006658
93,769.041,1.41766,0.73612,1.22633,0.97711,0.96282,0.99185,0.65399,1.2982,0.59101,1.17092,0.000654798,0.000654798,0.000654798
94,776.497,1.4268,0.73171,1.21202,0.94204,0.9918,0.99274,0.69231,1.17342,0.55825,1.13025,0.000643795,0.000643795,0.000643795
95,785.001,1.4214,0.71154,1.21566,0.98976,0.9855,0.99489,0.68297,1.21188,0.54531,1.1382,0.000632793,0.000632793,0.000632793
96,792.586,1.39278,0.70504,1.1972,0.98911,0.98584,0.99451,0.70644,1.1511,0.55444,1.12954,0.000621791,0.000621791,0.000621791
97,800.65,1.39774,0.71648,1.19512,0.96513,0.96307,0.99168,0.68559,1.19055,0.57837,1.14275,0.000610789,0.000610789,0.000610789
98,808.87,1.3599,0.69486,1.19143,0.98545,0.97552,0.99265,0.69796,1.18916,0.54398,1.1306,0.000599787,0.000599787,0.000599787
99,816.334,1.36694,0.69114,1.19242,0.98657,0.94039,0.98907,0.70508,1.14396,0.54804,1.11891,0.000588784,0.000588784,0.000588784
100,824.693,1.3701,0.69111,1.17832,0.95372,0.98942,0.99288,0.67296,1.20811,0.57077,1.13514,0.000577782,0.000577782,0.000577782
101,832.133,1.38284,0.72266,1.2122,0.99131,0.98252,0.99489,0.6641,1.2365,0.55988,1.15192,0.00056678,0.00056678,0.00056678
102,840.332,1.41301,0.71631,1.20933,0.93891,0.99373,0.98967,0.69002,1.17842,0.54535,1.12516,0.000555778,0.000555778,0.000555778
103,848.725,1.39246,0.7063,1.20216,0.99724,0.99143,0.99473,0.6907,1.20537,0.52417,1.1295,0.000544776,0.000544776,0.000544776
