epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1856.14,1.20308,0.60308,0.99658,0.96173,0.95372,0.99077,0.77212,0.87988,0.50864,0.891,0.000940855,0.000940855,0.000940855
68,1883.53,1.20381,0.61455,1.00186,0.96175,0.98743,0.98754,0.76401,0.89434,0.48126,0.89449,0.000929853,0.000929853,0.000929853
69,1910.85,1.22255,0.61753,1.00907,0.98266,0.97794,0.99317,0.77256,0.89589,0.47649,0.89082,0.00091885,0.00091885,0.00091885
70,1938.71,1.24853,0.63213,1.02036,0.97311,0.96803,0.98874,0.76676,0.92359,0.51036,0.90076,0.000907848,0.000907848,0.000907848
71,1966.96,1.21606,0.61241,1.0058,0.97677,0.97803,0.99138,0.75592,0.96954,0.49695,0.90506,0.000896846,0.000896846,0.000896846
72,1994.85,1.18813,0.6036,0.99209,0.9778,0.97755,0.99071,0.78877,0.87576,0.46789,0.88846,0.000885844,0.000885844,0.000885844
73,2022.87,1.17208,0.58712,0.99645,0.97914,0.98665,0.98225,0.78047,0.87883,0.46195,0.88828,0.000874842,0.000874842,0.000874842
74,2050.8,1.23095,0.6074,1.01486,0.97204,0.98107,0.99181,0.77373,0.88528,0.47754,0.89562,0.000863839,0.000863839,0.000863839
75,2078.44,1.21998,0.60548,1.00789,0.97658,0.97475,0.99094,0.78277,0.89127,0.49488,0.8874,0.000852837,0.000852837,0.000852837
76,2106.2,1.20516,0.595,1.00237,0.97086,0.9874,0.99168,0.76716,0.90094,0.47376,0.89277,0.000841835,0.000841835,0.000841835
77,2133.86,1.19316,0.60708,0.99718,0.97811,0.98505,0.99223,0.76966,0.90241,0.47467,0.89481,0.000830833,0.000830833,0.000830833
78,2162.1,1.20036,0.59759,1.00296,0.97531,0.98485,0.9905,0.76908,0.92274,0.48436,0.89643,0.000819831,0.000819831,0.000819831
79,2189.95,1.19424,0.58434,1.00098,0.97741,0.97993,0.98917,0.76083,0.94787,0.49773,0.90296,0.000808828,0.000808828,0.000808828
80,2217.73,1.1813,0.58714,0.99396,0.98032,0.99058,0.99128,0.76097,0.93437,0.47825,0.89367,0.000797826,0.000797826,0.000797826
81,2245.6,1.16647,0.58122,0.9967,0.97968,0.98841,0.99155,0.7642,0.93646,0.47346,0.88837,0.000786824,0.000786824,0.000786824
82,2273.4,1.20965,0.59308,1.00797,0.96323,0.98128,0.98618,0.73497,0.98793,0.4806,0.90422,0.000775822,0.000775822,0.000775822
83,2301.16,1.16702,0.58053,0.9911,0.98169,0.98987,0.99065,0.78508,0.87191,0.45344,0.88969,0.00076482,0.00076482,0.00076482
84,2328.9,1.17765,0.58419,0.99732,0.98726,0.99333,0.99361,0.78372,0.8935,0.4542,0.89144,0.000753817,0.000753817,0.000753817
85,2356.7,1.17824,0.58878,0.98946,0.96884,0.98688,0.98904,0.77271,0.88979,0.46274,0.88942,0.000742815,0.000742815,0.000742815
86,2384.48,1.16279,0.57868,0.99384,0.98762,0.98345,0.99107,0.75878,0.96862,0.48134,0.89742,0.000731813,0.000731813,0.000731813
87,2412.68,1.17928,0.58129,0.99445,0.98603,0.9865,0.98953,0.77274,0.89064,0.46075,0.88717,0.000720811,0.000720811,0.000720811
88,2440.46,1.13931,0.56776,0.98107,0.97456,0.94523,0.98755,0.76225,0.92869,0.50052,0.88897,0.000709809,0.000709809,0.000709809
89,2468.21,1.16996,0.57713,0.99269,0.98034,0.97323,0.98913,0.77275,0.91402,0.46971,0.88647,0.000698806,0.000698806,0.000698806
90,2496.11,1.13934,0.57003,0.99449,0.98182,0.98402,0.99248,0.79856,0.8444,0.43926,0.88,0.000687804,0.000687804,0.000687804
91,2523.83,1.17126,0.57084,0.99633,0.97995,0.97042,0.98578,0.78672,0.86382,0.46066,0.8853,0.000676802,0.000676802,0.000676802
92,2551.72,1.163,0.57025,0.99162,0.98228,0.98392,0.98884,0.7839,0.88298,0.45677,0.88467,0.0006658,0.0006658,0.0006658
93,2579.34,1.16255,0.56698,1.00051,0.97699,0.98746,0.98991,0.77643,0.90348,0.45405,0.88876,0.000654798,0.000654798,0.000654798
94,2607.34,1.16787,0.56932,0.99216,0.97718,0.98841,0.99148,0.78241,0.89019,0.44812,0.88307,0.000643795,0.000643795,0.000643795
95,2635.11,1.14838,0.5662,0.9877,0.97913,0.98553,0.98933,0.7903,0.84558,0.44004,0.8782,0.000632793,0.000632793,0.000632793
96,2662.93,1.13413,0.55682,0.98169,0.98755,0.98715,0.99035,0.781,0.89096,0.45017,0.88936,0.000621791,0.000621791,0.000621791
97,2690.7,1.14717,0.56038,0.98803,0.9791,0.98415,0.99012,0.77366,0.90096,0.44994,0.88766,0.000610789,0.000610789,0.000610789
98,2718.49,1.15386,0.55698,0.98056,0.98758,0.97667,0.99021,0.79423,0.85578,0.44033,0.88479,0.000599787,0.000599787,0.000599787
99,2746.35,1.14459,0.5576,0.98321,0.98617,0.97646,0.99301,0.78602,0.87741,0.45389,0.88407,0.000588784,0.000588784,0.000588784
100,2773.85,1.11681,0.54417,0.98065,0.98639,0.98392,0.99137,0.79429,0.84955,0.44446,0.8815,0.000577782,0.000577782,0.000577782
101,2801.49,1.14474,0.55723,0.99453,0.97759,0.9839,0.98978,0.78891,0.85469,0.43663,0.88068,0.00056678,0.00056678,0.00056678
102,2829.13,1.13322,0.54772,0.97313,0.98191,0.9844,0.98971,0.77668,0.89694,0.44946,0.89122,0.000555778,0.000555778,0.000555778
103,2857.35,1.12004,0.5406,0.97873,0.98329,0.98243,0.99012,0.79357,0.85306,0.43772,0.88464,0.000544776,0.000544776,0.000544776
104,2885.9,1.12893,0.54877,0.98283,0.98753,0.97452,0.99065,0.79525,0.86133,0.44408,0.87902,0.000533773,0.000533773,0.000533773
105,2914.05,1.11541,0.54401,0.97725,0.97164,0.9844,0.99042,0.77494,0.91415,0.43877,0.88792,0.000522771,0.000522771,0.000522771
106,2942.04,1.11506,0.5469,0.96773,0.98182,0.98353,0.98979,0.78804,0.86527,0.433,0.88204,0.000511769,0.000511769,0.000511769
107,2970.2,1.1072,0.542,0.97359,0.9805,0.98535,0.98963,0.77224,0.91826,0.44826,0.88636,0.000500767,0.000500767,0.000500767
108,2998.24,1.11993,0.54228,0.98002,0.98195,0.98839,0.99034,0.79257,0.84944,0.42945,0.87831,0.000489765,0.000489765,0.000489765
109,3025.8,1.12091,0.54611,0.97799,0.96811,0.98136,0.98852,0.77328,0.88764,0.46145,0.88778,0.000478762,0.000478762,0.000478762
110,3053.92,1.11985,0.53989,0.98106,0.98564,0.98302,0.99033,0.79949,0.83283,0.43004,0.87645,0.00046776,0.00046776,0.00046776
111,3082.53,1.10385,0.53491,0.96849,0.97899,0.98136,0.99029,0.79065,0.83077,0.42805,0.87639,0.000456758,0.000456758,0.000456758
112,3110.95,1.10433,0.53314,0.97885,0.98607,0.97218,0.9891,0.78828,0.85651,0.44287,0.87963,0.000445756,0.000445756,0.000445756
113,3139.28,1.10691,0.53723,0.97511,0.98741,0.98727,0.99081,0.79186,0.85793,0.4258,0.87992,0.000434754,0.000434754,0.000434754
114,3167.38,1.09057,0.52749,0.96855,0.99074,0.97887,0.98947,0.79727,0.84773,0.43036,0.87751,0.000423751,0.000423751,0.000423751
115,3195.19,1.11065,0.53814,0.97627,0.98518,0.97615,0.98896,0.78425,0.86865,0.43907,0.88046,0.000412749,0.000412749,0.000412749
116,3222.99,1.11231,0.54265,0.97918,0.9863,0.98609,0.99,0.78621,0.8637,0.43051,0.87935,0.000401747,0.000401747,0.000401747
117,3250.57,1.10821,0.53494,0.97279,0.99209,0.97908,0.99026,0.78231,0.88188,0.43311,0.879,0.000390745,0.000390745,0.000390745
118,3278.22,1.10701,0.53192,0.97648,0.98347,0.98831,0.99095,0.78664,0.89417,0.43661,0.88184,0.000379743,0.000379743,0.000379743
119,3306.06,1.09609,0.52422,0.97018,0.99064,0.97652,0.98903,0.80053,0.83791,0.42452,0.87597,0.00036874,0.00036874,0.00036874
120,3333.74,1.09285,0.52962,0.97142,0.9921,0.98115,0.99017,0.78718,0.88299,0.42696,0.88125,0.000357738,0.000357738,0.000357738
121,3360.99,1.08281,0.51996,0.96861,0.99311,0.9739,0.99001,0.78748,0.86637,0.42888,0.88009,0.000346736,0.000346736,0.000346736
122,3389.24,1.06936,0.52333,0.96419,0.98304,0.98613,0.99016,0.79575,0.85312,0.42343,0.88066,0.000335734,0.000335734,0.000335734
123,3417.33,1.09533,0.52843,0.9766,0.99129,0.9838,0.99283,0.80099,0.85938,0.42719,0.87787,0.000324732,0.000324732,0.000324732
124,3445.32,1.07136,0.51657,0.96552,0.98383,0.98696,0.98725,0.78677,0.87565,0.42614,0.8793,0.000313729,0.000313729,0.000313729
125,3472.75,1.07114,0.51556,0.97292,0.98592,0.9863,0.9909,0.78882,0.86955,0.42631,0.87752,0.000302727,0.000302727,0.000302727
126,3500.7,1.0925,0.52713,0.97394,0.98587,0.98234,0.99019,0.79811,0.84099,0.42682,0.87766,0.000291725,0.000291725,0.000291725
127,3529.93,1.0652,0.51361,0.96311,0.98487,0.98524,0.99121,0.7971,0.84665,0.41688,0.87569,0.000280723,0.000280723,0.000280723
128,3558.08,1.06621,0.51809,0.96306,0.98282,0.98567,0.99009,0.79546,0.85245,0.42496,0.8773,0.000269721,0.000269721,0.000269721
129,3585.76,1.08565,0.52165,0.96895,0.98958,0.97244,0.99042,0.80269,0.83722,0.43391,0.87475,0.000258718,0.000258718,0.000258718
130,3613.46,1.0738,0.51393,0.97208,0.9778,0.97802,0.98993,0.80543,0.82275,0.42173,0.87352,0.000247716,0.000247716,0.000247716
131,3640.91,1.06892,0.51451,0.96092,0.99027,0.98416,0.99055,0.78656,0.89078,0.42745,0.88285,0.000236714,0.000236714,0.000236714
132,3668.52,1.0799,0.51839,0.97381,0.98576,0.98679,0.99026,0.80321,0.82734,0.41634,0.87438,0.000225712,0.000225712,0.000225712
133,3696.16,1.05794,0.5033,0.96321,0.98379,0.98583,0.99259,0.80572,0.82703,0.41936,0.87613,0.00021471,0.00021471,0.00021471
134,3723.69,1.06745,0.51303,0.96403,0.98698,0.98463,0.99024,0.79268,0.87125,0.42486,0.87938,0.000203707,0.000203707,0.000203707
135,3751.18,1.03873,0.50193,0.95552,0.98833,0.98428,0.99013,0.8063,0.84439,0.41811,0.87687,0.000192705,0.000192705,0.000192705
136,3778.59,1.07196,0.51304,0.97557,0.98305,0.98514,0.99032,0.79661,0.84559,0.41626,0.87671,0.000181703,0.000181703,0.000181703
137,3806.09,1.09268,0.51809,0.97868,0.9873,0.98493,0.99066,0.79689,0.84703,0.41325,0.87577,0.000170701,0.000170701,0.000170701
138,3834.5,1.07223,0.51376,0.96278,0.98152,0.99031,0.99031,0.79964,0.83227,0.41402,0.87501,0.000159699,0.000159699,0.000159699
139,3862.69,1.06169,0.50589,0.96238,0.99064,0.97933,0.99133,0.80543,0.82937,0.4136,0.87307,0.000148696,0.000148696,0.000148696
140,3890.34,1.0505,0.50629,0.96058,0.98521,0.99394,0.9905,0.80302,0.82438,0.4108,0.87336,0.000137694,0.000137694,0.000137694
141,3919.27,1.01659,0.49693,0.98879,0.98791,0.98563,0.99113,0.8023,0.84238,0.4211,0.87421,0.000126692,0.000126692,0.000126692
142,3946.46,0.99716,0.47714,0.97363,0.98581,0.98648,0.99094,0.80935,0.81496,0.41107,0.8714,0.00011569,0.00011569,0.00011569
143,3973.42,0.98026,0.47156,0.97583,0.98406,0.98709,0.99038,0.80056,0.8373,0.4189,0.87259,0.000104688,0.000104688,0.000104688
144,4000.51,0.97979,0.47335,0.97147,0.98355,0.98842,0.9905,0.80153,0.83253,0.4142,0.87254,9.36854e-05,9.36854e-05,9.36854e-05
145,4027.47,0.97054,0.46982,0.96168,0.99169,0.98855,0.99087,0.80565,0.81911,0.4097,0.87158,8.26832e-05,8.26832e-05,8.26832e-05
146,4054.42,0.98155,0.46968,0.96539,0.99309,0.98793,0.9908,0.80446,0.82868,0.41252,0.87272,7.1681e-05,7.1681e-05,7.1681e-05
147,4081.46,0.96989,0.46468,0.97101,0.98819,0.99125,0.99076,0.80259,0.83155,0.4121,0.87298,6.06788e-05,6.06788e-05,6.06788e-05
148,4108.4,0.96669,0.46315,0.96085,0.98829,0.98946,0.99086,0.80032,0.83952,0.41179,0.87278,4.96766e-05,4.96766e-05,4.96766e-05
149,4135.6,0.9626,0.46134,0.96185,0.98998,0.98804,0.99095,0.80283,0.83817,0.41123,0.87256,3.86744e-05,3.86744e-05,3.86744e-05
150,4162.75,0.96615,0.4637,0.96265,0.98744,0.98989,0.99079,0.80404,0.83673,0.41378,0.87222,2.76722e-05,2.76722e-05,2.76722e-05
